Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,R Alma Mereminski,R Alma Mereminski's father,R Alma Mereminski's mother,R Leo Gursky,R Leo's father,R Leo's mother,R Zvi Litvinoff,R Isaac Moritz,R Rosa Litvinoff,R David Singer,R Bookstore owner (in Buenos Aires),R Charlotte Singer,R Bruno,R Alma Singer,R Misha Shklovsky,R Tatiana,R Uncle Julian,R Bird,R Doorman (Alma Mereminski's building),R Jacob Marcus,R Herman Cooper,R Bernard Moritz
1,R Alma Mereminski is born,1920-02-21,0000-01-01,T,R Leo (narrator),128.0,0.0,2000-12-01,2001-01-31,119.0,129.0,T,"""[Alma's] birthday was the twenty-first of February (making her older than me by five months and twenty-eight days)"" (128)",,T,T,T,,,,,,,,,,,,,,,,,,,
2,R Leo is born,1920-08-18,0000-01-01,T,R Leo (narrator),255.0,0.0,2000-12-01,2001-01-31,255.0,255.0,T,"""Leopold Gursky started dying on August 18, 1920""",,,,,T,T,T,,,,,,,,,,,,,,,,
3,R Leo and Alma fall in love,1930-01-01,1940-01-01,T,R Leo (narrator),230.0,0.0,2000-12-01,2001-01-31,230.0,230.0,T,"Leo meets Alma ""a year"" (125) after he ""was nine"" (124); Alma leaves for America in 1940.",,T,,,T,,,,,,,,,,,,,,,,,,
3,R Leo and Alma fall in love,1930-01-01,1940-01-01,T,R Alma (narrator),57.0,0.0,2000-09-14,0000-01-01,57.0,58.0,T,"Leo meets Alma ""a year"" (125) after he ""was nine"" (124); Alma leaves for America in 1940.",,T,,,T,,,,,,,,,,,,,,,,,,
3,R Leo and Alma fall in love,1930-01-01,1940-01-01,T,R Alma (narrator),62.0,0.0,2000-09-14,0000-01-01,61.0,64.0,T,"Leo meets Alma ""a year"" (125) after he ""was nine"" (124); Alma leaves for America in 1940.",,T,,,T,,,,,,,,,,,,,,,,,,
3,R Leo and Alma fall in love,1930-01-01,1940-01-01,T,R Alma (narrator),63.0,0.0,2000-09-14,0000-01-01,61.0,64.0,T,"Leo meets Alma ""a year"" (125) after he ""was nine"" (124); Alma leaves for America in 1940.",,T,,,T,,,,,,,,,,,,,,,,,,
3,R Leo and Alma fall in love,1930-01-01,1940-01-01,T,R Leo (narrator),80.0,0.0,2000-12-01,2001-01-31,75.0,92.0,T,"Leo meets Alma ""a year"" (125) after he ""was nine"" (124); Alma leaves for America in 1940.",,T,,,T,,,,,,,,,,,,,,,,,,
3,R Leo and Alma fall in love,1930-01-01,1940-01-01,T,R Leo (narrator),85.0,0.0,2000-12-01,2001-01-31,75.0,92.0,T,"Leo meets Alma ""a year"" (125) after he ""was nine"" (124); Alma leaves for America in 1940.",,T,,,T,,,,,,,,,,,,,,,,,,
3,R Leo and Alma fall in love,1930-01-01,1940-01-01,T,R Leo (narrator),90.0,0.0,2000-12-01,2001-01-31,75.0,92.0,T,"Leo meets Alma ""a year"" (125) after he ""was nine"" (124); Alma leaves for America in 1940.",,T,,,T,,,,,,,,,,,,,,,,,,
3,R Leo and Alma fall in love,1930-01-01,1940-01-01,T,R Leo (narrator),126.0,0.0,2000-12-01,2001-01-31,119.0,129.0,T,"Leo meets Alma ""a year"" (125) after he ""was nine"" (124); Alma leaves for America in 1940.",,T,,,T,,,,,,,,,,,,,,,,,,
