Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,Damuddy,Caroline Bascomb Compson,Jason Compson III,Quentin Compson III,Caddy Compson,Benjamin Compson,Jason Compson IV,Versh Gibson,Frony Gibson,T.P.,Roskus Gibson,Dilsey Gibson,Mr. Patterson,Mrs. Patterson,Maury Bascomb,Charlie,Herbert Head,Little girl (Benjy ran after),Doctor,Miss Quentin Compson,Grave diggers,Band member (that Quentin runs off with),Luster Gibson,Reverend Shegog,Church-goers,Choir,Sheriff,Man (in a dirty apron),Man (who runs the show),Dalton Ames,Shreve
1,Damuddy's death,1900-01-01,1900-01-01,T,Benjamin Compson (narrator),23.0,23.0,1928-04-07,1928-04-07,3.0,75.0,F,"(includes the children playing in the water, coming home, and looking in the house) Dates collected from Ross and Polk",,T,T,T,T,T,T,T,T,T,T,T,,,,,,,,,,,,,,,,,,,,
2,Changing Benjamin's name,1900-01-01,1900-01-01,T,Benjamin Compson (narrator),61.0,61.0,1928-04-07,1928-04-07,3.0,75.0,F,"(includes the decision to change his name, Caddy explaining it to Benjamin, and Jason cutting up the paper dolls) Dates collected from Ross and Polk",,,T,T,,T,T,,T,,,,T,,,,,,,,,,,,,,,,,,,
2,Changing Benjamin's name,1900-01-01,1900-01-01,T,Benjamin Compson (narrator),64.0,64.0,1928-04-07,1928-04-07,3.0,75.0,F,"(includes the decision to change his name, Caddy explaining it to Benjamin, and Jason cutting up the paper dolls) Dates collected from Ross and Polk",,,T,T,,T,T,,T,,,,T,,,,,,,,,,,,,,,,,,,
2,Changing Benjamin's name,1900-01-01,1900-01-01,T,Benjamin Compson (narrator),65.0,65.0,1928-04-07,1928-04-07,3.0,75.0,F,"(includes the decision to change his name, Caddy explaining it to Benjamin, and Jason cutting up the paper dolls) Dates collected from Ross and Polk",,,T,T,,T,T,,T,,,,T,,,,,,,,,,,,,,,,,,,
2,Changing Benjamin's name,1900-01-01,1900-01-01,T,Benjamin Compson (narrator),66.0,66.0,1928-04-07,1928-04-07,3.0,75.0,F,"(includes the decision to change his name, Caddy explaining it to Benjamin, and Jason cutting up the paper dolls) Dates collected from Ross and Polk",,,T,T,,T,T,,T,,,,T,,,,,,,,,,,,,,,,,,,
2,Changing Benjamin's name,1900-01-01,1900-01-01,T,Benjamin Compson (narrator),69.0,69.0,1928-04-07,1928-04-07,3.0,75.0,F,"(includes the decision to change his name, Caddy explaining it to Benjamin, and Jason cutting up the paper dolls) Dates collected from Ross and Polk",,,T,T,,T,T,,T,,,,T,,,,,,,,,,,,,,,,,,,
2,Changing Benjamin's name,1900-01-01,1900-01-01,T,Benjamin Compson (narrator),70.0,70.0,1928-04-07,1928-04-07,3.0,75.0,F,"(includes the decision to change his name, Caddy explaining it to Benjamin, and Jason cutting up the paper dolls) Dates collected from Ross and Polk",,,T,T,,T,T,,T,,,,T,,,,,,,,,,,,,,,,,,,
2,Changing Benjamin's name,1900-01-01,1900-01-01,T,Quentin Compson III (narrator),88.0,88.0,1910-06-02,1910-06-02,76.0,179.0,F,"(includes the decision to change his name, Caddy explaining it to Benjamin, and Jason cutting up the paper dolls) Dates collected from Ross and Polk",,,T,T,,T,T,,T,,,,T,,,,,,,,,,,,,,,,,,,
2,Changing Benjamin's name,1900-01-01,1900-01-01,T,Quentin Compson III (narrator),89.0,89.0,1910-06-02,1910-06-02,76.0,179.0,F,"(includes the decision to change his name, Caddy explaining it to Benjamin, and Jason cutting up the paper dolls) Dates collected from Ross and Polk",,,T,T,,T,T,,T,,,,T,,,,,,,,,,,,,,,,,,,
2,Changing Benjamin's name,1900-01-01,1900-01-01,T,Quentin Compson III (narrator),170.0,170.0,1910-06-02,1910-06-02,76.0,179.0,F,"(includes the decision to change his name, Caddy explaining it to Benjamin, and Jason cutting up the paper dolls) Dates collected from Ross and Polk",,,T,T,,T,T,,T,,,,T,,,,,,,,,,,,,,,,,,,
1,Damuddy's death,1900-01-01,1900-01-01,T,Benjamin Compson (narrator),18.0,18.0,1928-04-07,1928-04-07,3.0,75.0,F,"(includes the children playing in the water, coming home, and looking in the house) Dates collected from Ross and Polk",,T,T,T,T,T,T,T,T,T,T,T,,,,,,,,,,,,,,,,,,,,
1,Damuddy's death,1900-01-01,1900-01-01,T,Benjamin Compson (narrator),19.0,19.0,1928-04-07,1928-04-07,3.0,75.0,F,"(includes the children playing in the water, coming home, and looking in the house) Dates collected from Ross and Polk",,T,T,T,T,T,T,T,T,T,T,T,,,,,,,,,,,,,,,,,,,,
1,Damuddy's death,1900-01-01,1900-01-01,T,Benjamin Compson (narrator),20.0,20.0,1928-04-07,1928-04-07,3.0,75.0,F,"(includes the children playing in the water, coming home, and looking in the house) Dates collected from Ross and Polk",,T,T,T,T,T,T,T,T,T,T,T,,,,,,,,,,,,,,,,,,,,
1,Damuddy's death,1900-01-01,1900-01-01,T,Benjamin Compson (narrator),22.0,22.0,1928-04-07,1928-04-07,3.0,75.0,F,"(includes the children playing in the water, coming home, and looking in the house) Dates collected from Ross and Polk",,T,T,T,T,T,T,T,T,T,T,T,,,,,,,,,,,,,,,,,,,,
2,Changing Benjamin's name,1900-01-01,1900-01-01,T,Benjamin Compson (narrator),58.0,58.0,1928-04-07,1928-04-07,3.0,75.0,F,"(includes the decision to change his name, Caddy explaining it to Benjamin, and Jason cutting up the paper dolls) Dates collected from Ross and Polk",,,T,T,,T,T,,T,,,,T,,,,,,,,,,,,,,,,,,,
1,Damuddy's death,1900-01-01,1900-01-01,T,Benjamin Compson (narrator),24.0,24.0,1928-04-07,1928-04-07,3.0,75.0,F,"(includes the children playing in the water, coming home, and looking in the house) Dates collected from Ross and Polk",,T,T,T,T,T,T,T,T,T,T,T,,,,,,,,,,,,,,,,,,,,
1,Damuddy's death,1900-01-01,1900-01-01,T,Benjamin Compson (narrator),26.0,26.0,1928-04-07,1928-04-07,3.0,75.0,F,"(includes the children playing in the water, coming home, and looking in the house) Dates collected from Ross and Polk",,T,T,T,T,T,T,T,T,T,T,T,,,,,,,,,,,,,,,,,,,,
1,Damuddy's death,1900-01-01,1900-01-01,T,Benjamin Compson (narrator),27.0,27.0,1928-04-07,1928-04-07,3.0,75.0,F,"(includes the children playing in the water, coming home, and looking in the house) Dates collected from Ross and Polk",,T,T,T,T,T,T,T,T,T,T,T,,,,,,,,,,,,,,,,,,,,
1,Damuddy's death,1900-01-01,1900-01-01,T,Benjamin Compson (narrator),32.0,32.0,1928-04-07,1928-04-07,3.0,75.0,F,"(includes the children playing in the water, coming home, and looking in the house) Dates collected from Ross and Polk",,T,T,T,T,T,T,T,T,T,T,T,,,,,,,,,,,,,,,,,,,,
