Character,Color Name,Hex Code
Bobby,Red,#Db4105
Josie,Chartreuse,#ccdc29
Lily,Yellow,#ffe666
Vasya,Dark Teal,#317f85
Realtin,Pink,#ffa5b5
Timmy,Teal,#39a796
Brian,Dark Orange,#CA5B00
Trevor,Green,#a9d164
Birdie,Blue,#A51D32
Jason,Light Yellow,#FEFFA1
Hillary,Magenta,#ff33cc
Seanie,Light Purple,#d6aeff
Kate,Cyan,#66ffff
Lloyd,Dark Yellow,#EABE00
Rory,Dark Green,#308200
Millicent,Purple,#8762a6
Denis,Light Green,#CFFFA1
Mags,Dark Magenta,#84006b
Jim,Dark Blue,#0047AD
Frank,Burgundy,#b21d22
Triona,Orange,#f7931e
