Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Caddy,Quentin Compson III,Benjamin Compson,Jason Compson,Dilsey,Quentin Jr.
38,Luster looks for quarter,1928-04-07,1928-04-07,T,Benjamin Compson,3,3,4-7-1928,4-7-1928,3,75,T,"""...find that quarter...""",F,F,T,F,F,F
4,Patterson Affair,1908-08-01,1908-08-01,T,Benjamin Compson,4,4,1928-04-07,1928-04-07,3,75,T,Caddy uncaught me,T,F,T,F,F,F
38,Luster looks for quarter,1928-04-07,1928-04-07,T,Benjamin Compson,4,4,4-7-1928,4-7-1928,3,75,T,...aint no more...,F,F,T,F,F,F
4,Patterson Affair,1908-08-01,1908-08-01,T,Benjamin Compson,5,5,1928-04-07,1928-04-07,3,75,T,Keep your hands...,T,F,T,F,F,F
4,Patterson Affair,1908-08-01,1908-08-01,T,Benjamin Compson,6,6,1928-04-07,1928-04-07,3,75,T,"""Yes, sir.""",T,F,T,F,F,F
38,Luster looks for quarter,1928-04-07,1928-04-07,T,Benjamin Compson,6,6,4-7-1928,4-7-1928,3,75,T,What are you moaning...,F,F,T,F,F,F
29,Compsons visit cemetery w/o Jason,1912-10-01,1912-10-01,T,Benjamin Compson,9,9,1928-04-07,1928-04-07,3,75,T,"""Git in, now...""",F,F,T,T,T,F
38,Luster looks for quarter,1928-04-07,1928-04-07,T,Benjamin Compson,9,9,4-7-1928,4-7-1928,3,75,T,Cant you shut up...,F,F,T,F,F,F
29,Compsons visit cemetery w/o Jason,1912-10-01,1912-10-01,T,Benjamin Compson,10,10,1928-04-07,1928-04-07,3,75,T,...and Dilsey helped...,F,F,T,T,T,F
29,Compsons visit cemetery w/o Jason,1912-10-01,1912-10-01,T,Benjamin Compson,11,11,1928-04-07,1928-04-07,3,75,T,"""...cemetery...""",F,F,T,T,T,F
4,Patterson Affair,1908-08-01,1908-08-01,T,Benjamin Compson,12,12,1928-04-07,1928-04-07,3,75,T,"""Keep your hands...""",T,F,T,F,F,F
29,Compsons visit cemetery w/o Jason,1912-10-01,1912-10-01,T,Benjamin Compson,12,12,1928-04-07,1928-04-07,3,75,T,"...Mother.""",F,F,T,T,T,F
38,Luster looks for quarter,1928-04-07,1928-04-07,T,Benjamin Compson,12,12,4-7-1928,4-7-1928,3,75,T,"Cry baby, Luster said.",F,F,T,F,F,F
4,Patterson Affair,1908-08-01,1908-08-01,T,Benjamin Compson,13,13,1928-04-07,1928-04-07,3,75,T,"""We can come back...""",T,F,T,F,F,F
4,Patterson Affair,1908-08-01,1908-08-01,T,Benjamin Compson,14,14,1928-04-07,1928-04-07,3,75,T,...reaching her hand.,T,F,T,F,F,F
38,Luster looks for quarter,1928-04-07,1928-04-07,T,Benjamin Compson,14,14,4-7-1928,4-7-1928,3,75,T,"""They aint nothing...""",F,F,T,F,F,F
38,Luster looks for quarter,1928-04-07,1928-04-07,T,Benjamin Compson,15,15,4-7-1928,4-7-1928,3,75,T,"""Come on here.""",F,F,T,F,F,F
38,Luster looks for quarter,1928-04-07,1928-04-07,T,Benjamin Compson,16,16,4-7-1928,4-7-1928,3,75,T,Luster got into the...,F,F,T,F,F,F
1,Damuddy's funeral,1900-04-01,1900-04-01,T,Benjamin Compson,17,17,1928-04-07,1928-04-07,3,75,T,...and Roskus came...,T,T,T,T,T,F
38,Luster looks for quarter,1928-04-07,1928-04-07,T,Benjamin Compson,17,17,4-7-1928,4-7-1928,3,75,T,...been at it all morning...,F,F,T,F,F,F
1,Damuddy's funeral,1900-04-01,1900-04-01,T,Benjamin Compson,18,18,1928-04-07,1928-04-07,3,75,T,"""I'm going to school...""",T,T,T,T,T,F
