id,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Rafaela,Bobby,Emi,Buzzworm,Manzanar,Gabriel,Arcangel,Sol,The Orange
,Orange trees arrive in America,1837-07-02,1837-07-02,T,Rafaela,11,14,1998-06-22,1998-06-22,11,11,F,"“It was a navel orange tree, maybe the descendent of the original trees first brought to California from Brazil in 1873 and planted by L.C. Tibbetts. This was the sort of historic detail Gabriel liked.""
",T,F,F,F,F,T,F,F,T
,Bobby moves to America,1975-07-02,1975-07-02,T,Bobby,15,18,1998-06-22,1998-06-22,15,15,F,"""Bobby's only twelve. How you get from Singapore to America? It's 1975."" ",F,T,F,F,F,F,F,,
,Gabriel and Emi start dating,,,,Gabriel,"19, 40","25, 46",1998-06-22,1998-06-22,"19, 40-41",,F,"“but that was back in college [...] since then, they had been on again/off again.”",F,F,T,F,F,T,F,,
,Gabriel works as messenger,,,,Gabriel,39,46,1998-06-22,1998-06-22,39,39,F,"“ I did a rare thing: worked my way up from messenger. Did this all through college. To be honest, I did it for completely idealistic reasons at the time, not necessarily because I could write or even liked to.”",,,,,,,,,
,Gabriel buys land in Mexico,1990-07-16,1990-07-16,T,Rafaela,5,14,1998-06-22,1998-06-22,5,5,F,"“this project had already been going on for eight years. It had begun one summer when Gabriel felt a spontaneous, sudden passion[…]” (1, 5) (1990?)
“About the time Rafaela was crossing the border North (from Mazatlan)” (1, 6)
“In eight years [...] she had learned English, married Bobby, helped start their janitorial business, borne a baby, and got a degree” (1, 6)",,,,,,,,,
,Rafaela crosses border,1990-07-16,1990-07-16,T,Rafaela,6,14,1998-06-22,1998-06-22,6,6,F,"""About the time Gabriel was buying a piece of the Tropic of Cancer, Rafaela was crossing the border North.""",,,,,,,,,
,Gabriel plants Orange tree on Tropic of Cancer,1990-08-08,1990-08-08,T,Rafaela,11,14,1998-06-22,1998-06-22,11,11,F,“he had actually brought this tree from Riverside eight years ago”,,,,,,,,,
,Rafaela marries Bobby,,,T,Rafaela,6,14,1998-06-22,1998-06-22,6,6,F,"""until she and her husband Bobby could make up their minds about their marriage."" ",T,T,F,F,F,F,F,F,F
,Rafaela marries Bobby,,,T,Bobby,17,18,1998-06-22,1998-06-22,17,17,F,"“Never been so happy as when he got married to that woman” (17)
",T,T,F,F,F,F,F,F,F
,Sol is born,1996-03-30,1996-03-30,T,Rafaela,6,14,1998-06-22,1998-06-22,6,6,F,"""In eight years, while his Mexican project floundered, she had learned English married Bobby, helped start their janitorial business, borne a baby """,T,T,,,,F,,T,
,Rafaela and Sol move to mexico,1998-06-01,1998-06-01,T,Rafaela,6,14,1998-06-22,1998-06-22,6,6,F,"""Gabriel was doing her a favour, letting her hide with her little son""",T,,,,,T,,T,
,Orange falls off the tree,1998-06-22,1998-06-22,F,Rafaela,13,14,1998-06-22,1998-06-22,13,13,F,"“She did not realize that the orange had fallen irresistibly from a height of two meters, rolling in dusty turbulence down a small slope""
",,,,,,,,,
,Woman picks up orange,1998-06-22,1998-06-22,F,Arcangel,17,18,1998-06-22,1998-06-22,17,17,F,"“In the dream, “a woman was pushing a cart [...] only to come upon an orange”",,,,,,,,,
,Arcangel wakes up in Mazatlan,1998-06-22,1998-06-22,F,Arcangel,51,51,1998-06-22,1998-06-22,51,51,F,"“Now he was in Mazatlán. He could hear the waves lapping at the edges of the sand, feel the already-heating breezes flowing from the Sea of Cortez.
He had had a dream. And when he awoke he could still see the dream like a miniature Aleph reflected from his mind to an indefinable point on his visual horizon.""
",,,,,,,,,
,Manzanar leaves his job,,,T,Manzanar,"56, 170","57, 171",1998-06-23,1998-06-23,"56, 170",,F,"“Long ago, Manzanar had been a skilled surgeon [...] at what point the baton replaced the knife, he could no longer remember” (56)
“He remembered his youth, the woman he loved, the family he once had, a nine-year-old- grandchild [Emi] he was particularly fond of” (170) 
",,,,,,,,,
,First car accident,1998-06-23,1998-06-23,F,Manzanar,55,57,1998-06-23,1998-06-23,55,56,F,"""The Terrible pain of this moment flashed""",,,,,,,,,
,Second car accident,1998-06-23,1998-06-23,F,,112,112,1998-06-23,1998-06-23,,,F,,,,,,,,,,
