Relative Order,Event Name,Start Date ST,End Date ST,Is Approximate ST,Narrator,Start Page Mention,End Page Mention,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT,Evidence,Sasha,Bennie,Scotty,Lou,Rob,Lulu,,,,,,
1,"Lou, Rolph, and Charlie go to Africa",6-1-1973,6/31/1973,T,3rd-Person,50,50,2021-01-01,2031-12-31,39,58,T,Lou tells us about being on a train in Africa.,F,F,F,T,F,F,,,,,,
1,"Lou, Rolph, and Charlie go to Africa",6-2-1973,6/31/1974,T,3rd-Person,54,54,2021-01-01,2031-12-31,39,58,T,They went to Africa with him.,F,F,F,T,F,F,,,,,,
1,"Lou, Rolph, and Charlie go to Africa",6-3-1973,6/31/1975,T,3rd-Person,59,59,2021-01-01,2031-12-31,59,83,T,...the safari...,F,F,F,T,F,F,,,,,,
1,"Lou, Rolph, and Charlie go to Africa",6-4-1973,6/31/1976,T,3rd-Person,60,60,2021-01-01,2031-12-31,59,83,T,...this three-week safari.,F,F,F,T,F,F,,,,,,
1,"Lou, Rolph, and Charlie go to Africa",6-5-1973,6/31/1977,T,3rd-Person,61,61,2021-01-01,2031-12-31,59,83,T,During her ten days in Africa...,F,F,F,T,F,F,,,,,,
1,"Lou, Rolph, and Charlie go to Africa",6-6-1973,6/31/1978,T,3rd-Person,62,62,2021-01-01,2031-12-31,59,83,T,"Twelve tents, each sleeping two safari guests...",F,F,F,T,F,F,,,,,,
1,"Lou, Rolph, and Charlie go to Africa",6-7-1973,6/31/1979,T,3rd-Person,63,63,2021-01-01,2031-12-31,59,83,T,...surrounded by the whispering bush.,F,F,F,T,F,F,,,,,,
1,"Lou, Rolph, and Charlie go to Africa",6-8-1973,6/31/1980,T,3rd-Person,64,64,2021-01-01,2031-12-31,59,83,T,...nosing along a dirt road through grassland...,F,F,F,T,F,F,,,,,,
1,"Lou, Rolph, and Charlie go to Africa",6-9-1973,6/31/1981,T,3rd-Person,65,65,2021-01-01,2031-12-31,59,83,T,...this lark in Africa...,F,F,F,T,F,F,,,,,,
1,"Lou, Rolph, and Charlie go to Africa",6-10-1973,6/31/1982,T,3rd-Person,66,66,2021-01-01,2031-12-31,59,83,T,...this trip constitutes anthropological research...,F,F,F,T,F,F,,,,,,
