Relative Order,Event Fame,Start Date ST,End Date ST,Is Approximate ST,Narrator,Start Page Mention,End Page Mention,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT,Evidence,Scout,Jem,Dill,Atticus,Tom Robinson,Boo Radley,,,,,,
,Dill arrives in Maycomb,7/30/1933,7/30/1933,T,Scout,3,3,,,3,19,T,...the summer Dill came to us,T,T,T,T,F,F,,,,,,
,Dill arrives in Maycomb,7/30/1933,7/30/1933,T,Scout,7,7,,,3,19,T,That was the summer Dill came to us.,T,T,T,T,F,F,,,,,,
,Dill arrives in Maycomb,7/30/1933,7/30/1933,T,Scout,8,8,,,3,19,T,"...instead, we found someone sitting looking at us.",T,T,T,T,F,F,,,,,,
,Dill becomes interested in Boo Radley,8/30/1933,8/31/1933,T,Scout,3,3,,,3,19,T,...when Dill first gave us the idea of making Boo Radley come out.,T,T,T,F,F,T,,,,,,
,Dill becomes interested in Boo Radley,8/30/1933,8/31/1933,T,Scout,10,10,,,3,19,T,Dill gave us the idea of making Boo Radley come out,T,T,T,F,F,T,,,,,,
,Dill becomes interested in Boo Radley,8/30/1933,8/31/1933,T,Scout,15,15,,,3,19,T,"The more we told Dill about the Radleys, the more he wanted to know...",T,T,T,F,F,T,,,,,,
,Dill becomes interested in Boo Radley,8/30/1933,8/31/1933,T,Scout,16,16,,,3,19,T,"""Let's try to make him come out,"" said Dill.",T,T,T,F,F,T,,,,,,
,Jem invites Walter Cunningham to dinner,9/5/1933,9/5/1933,T,Scout,30,30,,,30,42,T,"""Come on home to dinner with us, Walter,"" he said.",T,T,F,T,F,F,,,,,,
,Boo Radley leaves gifts in the tree,4/15/1934,10/15/1934,T,Scout,44,44,,,43,54,T,Some tinfoil was sticking in the knot-hole...,T,T,F,F,F,T,,,,,,
,Boo Radley leaves gifts in the tree,4/15/1934,10/15/1934,T,Scout,46,46,,,43,54,T,...and found myself pointing at another piece of tinfoil.,T,T,F,F,F,T,,,,,,
,Boo Radley leaves gifts in the tree,4/15/1934,10/15/1934,T,Scout,78,78,,,77,85,T,In its knot-hole rested a ball of gray twine.,T,T,F,F,F,T,,,,,,
,Boo Radley leaves gifts in the tree,4/15/1934,10/15/1934,T,Scout,79,79,,,77,85,T,...when our knot-hole stopped us again.,T,T,F,F,F,T,,,,,,
,Boo Radley leaves gifts in the tree,4/15/1934,10/15/1934,T,Scout,80,80,,,77,85,T,"One was the figure of a boy, the other wore a crude dress.",T,T,F,F,F,T,,,,,,
,Boo Radley leaves gifts in the tree,4/15/1934,10/15/1934,T,Scout,81,81,,,77,85,T,The following week the knot-hole yielded a tarnished medal.,T,T,F,F,F,T,,,,,,
,Boo Radley leaves gifts in the tree,4/15/1934,10/15/1934,T,Scout,324,324,,,324,331,T,"Two Indian-head pennis, chewing gum, soap dolls, a rusty medal...",T,T,F,F,F,T,,,,,,
,Boo Radley leaves gifts in the tree,4/15/1934,10/15/1934,T,Scout,373,373,,,370,376,T,He gave us two soap dolls...,T,T,F,F,F,T,,,,,,
,Mr. Radley shoots at Jem and Dill,8/15/1934,8/15/1934,T,Scout,71,71,,,67,76,T,...the roar of a shotgun shattered the neighbourhood.,T,T,T,F,F,F,,,,,,
,Mr. Radley shoots at Jem and Dill,8/15/1934,8/15/1934,T,Scout,72,72,,,67,76,T,"""Mr. Radley shot at a N**** in his collard patch.""",T,T,T,F,F,F,,,,,,
,Mr. Radley fills the tree with cement,10/15/1934,10/15/1934,T,Scout,83,83,,,77,85,T,Someone had filled our knot-hole with cement.,T,T,F,F,F,F,,,,,,
,Miss Maudie's houes catches fire,11/30/1934,11/30/1934,T,Scout,92,92,,,85,98,T,...we saw fire spewing from Miss Maudie's diningroom...,T,T,F,T,F,T,,,,,,
,Miss Maudie's houes catches fire,11/30/1934,11/30/1934,T,Scout,93,93,,,85,98,T,The fire was well into the second floor and had eaten its way to the roof.,T,T,F,T,F,T,,,,,,
,Miss Maudie's houes catches fire,11/30/1934,11/30/1934,T,Scout,94,94,,,85,98,T,The Abbottsville fire truck began pumping water on our house...,T,T,F,T,F,T,,,,,,
,Miss Maudie's houes catches fire,11/30/1934,11/30/1934,T,Scout,95,95,,,85,98,T,...the Abbottsville truck departed...,T,T,F,T,F,T,,,,,,
