Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,Alma Mereminski,Leo Gursky,Zvi Litvinoff,Isaac Moritz,Rosa Litvinoff,David Singer,Charlotte Singer,Bruno,Alma Singer,Misha Shklovsky,Bird,Jacob Marcus
3,Leo and Alma fall in love,1930-01-01,1940-01-01,T,Alma Singer ,57,0,2000-09-14,,57,58,T,"Leo meets Alma ""a year"" (125) aftehe ""was nine"" (124); Alma leaves foAmerica in 1940.",Alma Mereminski and Leo Gursky,T,T,,,,,,,,,,
3,Leo and Alma fall in love,1930-01-01,1940-01-01,T,Alma Singer ,62,0,2000-09-14,,61,64,T,"Leo meets Alma ""a year"" (125) aftehe ""was nine"" (124); Alma leaves foAmerica in 1940.",Alma Mereminski and Leo Gursky,T,T,,,,,,,,,,
3,Leo and Alma fall in love,1930-01-01,1940-01-01,T,Alma Singer ,63,0,2000-09-14,,61,64,T,"Leo meets Alma ""a year"" (125) aftehe ""was nine"" (124); Alma leaves foAmerica in 1940.",Alma Mereminski and Leo Gursky,T,T,,,,,,,,,,
3,Leo and Alma fall in love,1930-01-01,1940-01-01,T,Alma Singer ,251,0,2000-10-21,2001-09-14,251,251,T,"Leo meets Alma ""a year"" (125) aftehe ""was nine"" (124); Alma leaves foAmerica in 1940.",Alma Mereminski and Leo Gursky,T,T,,,,,,,,,,
7,Alma Mereminski leaves foAmerica,1940-01-02,1940-04-30,T,Alma Singer ,251,0,2000-10-21,2001-09-14,251,251,T,"Isaac was born afteOct 8 1940 and before Nov 1 1940. Alma ""threw up the whole way"" (12) to America. Morning sickness usually occurs within the first trimester. This date range encompasses the first trimester.",Alma Mereminski,T,,,,,,,,,,,
7,Alma Mereminski leaves foAmerica,1940-01-02,1940-04-30,T,Alma Singer ,171,0,2000-09-14,,171,171,T,"Isaac was born afteOct 8 1940 and before Nov 1 1940. Alma ""threw up the whole way"" (12) to America. Morning sickness usually occurs within the first trimester. This date range encompasses the first trimester.",Alma Mereminski,T,,,,,,,,,,,
7,Alma Mereminski leaves foAmerica,1940-01-02,1940-04-30,T,Alma Singer ,140,0,2000-09-14,,140,141,T,"Isaac was born afteOct 8 1940 and before Nov 1 1940. Alma ""threw up the whole way"" (12) to America. Morning sickness usually occurs within the first trimester. This date range encompasses the first trimester.",Alma Mereminski,T,,,,,,,,,,,
9,Zvi leaves foChile with The History of Love,1941-01-01,1941-07-31,T,Alma Singer ,148,0,2000-09-14,,148,149,T,"Zvi ""moved to Chile in 1941"" (74), but he moved before the Nazis invaded Slonim. Zvi received The History of Love ""on his last morning in Poland"" (153)",Zvi Litvinoff,,,T,,,,,,,,,
9,Zvi leaves foChile with The History of Love,1941-01-01,1941-07-31,T,Alma Singer ,141,0,2000-09-14,,140,141,T,"Zvi ""moved to Chile in 1941"" (74), but he moved before the Nazis invaded Slonim. Zvi received The History of Love ""on his last morning in Poland"" (153)",Zvi Litvinoff,,,T,,,,,,,,,
10,The Nazis invade Slonim,1941-01-07,1941-07-31,T,Alma Singer ,140,0,2000-09-14,,140,141,T,Google it.,,,,,,,,,,,,,
22,David Singebuys The History of Love,1971-01-01,1971-12-31,T,Alma Singer ,175,0,2000-09-14,,175,176,T,"David was 22 when he bought it (176). He was 10 years oldethan Charlotte, and Charlotte is 41 when Alma is 15 (38).  Alma is born in 1985.",David Singer,,,,,,T,,,,,,
23,Charlotte and David meet,1975-01-01,1978-12-31,T,Alma Singer ,108,0,2000-09-14,,106,108,T,"Charlotte met David ""the summebefore she started Oxford' (37-8).",Charlotte Singer and David Singer,,,,,,T,T,,,,,
23,Charlotte and David meet,1975-01-01,1978-12-31,T,Alma Singer ,38,0,2000-09-14,,37,38,T,"Charlotte met David ""the summebefore she started Oxford' (37-8).",Charlotte Singer and David Singer,,,,,,T,T,,,,,
23,Charlotte and David meet,1975-01-01,1978-12-31,T,Alma Singer ,37,0,2000-09-14,,37,38,T,"Charlotte met David ""the summebefore she started Oxford' (37-8).",Charlotte Singer and David Singer,,,,,,T,T,,,,,
25,Alma Singeis born,1985-09-14,1985-09-28,T,Alma Singer ,35,0,2000-09-14,,35,35,T,,"Alma Singer, Charlotte Singer, and David Singer",,,,,,T,T,,T,,,
25,Alma Singeis born,1985-09-14,1985-09-28,T,Alma Singer ,41,0,2000-09-14,,41,41,T,,"Alma Singer, Charlotte Singer, and David Singer",,,,,,T,T,,T,,,
26,David Singedies,1992-09-14,1993-09-28,T,Alma Singer ,37,0,2000-09-14,,37,38,T,"""MY FATHEDIED WHEN I WAS SEVEN"" (37).",David Singer,,,,,,T,,,,,,
26,David Singedies,1992-09-14,1993-09-28,T,Alma Singer ,41,0,2000-09-14,,41,41,T,"""MY FATHEDIED WHEN I WAS SEVEN"" (37).",David Singer,,,,,,T,,,,,,
26,David Singedies,1992-09-14,1993-09-28,T,Alma Singer ,42,0,2000-09-14,,42,43,T,"""MY FATHEDIED WHEN I WAS SEVEN"" (37).",David Singer,,,,,,T,,,,,,
26,David Singedies,1992-09-14,1993-09-28,T,Alma Singer ,43,0,2000-09-14,,43,44,T,"""MY FATHEDIED WHEN I WAS SEVEN"" (37).",David Singer,,,,,,T,,,,,,
26,David Singedies,1992-09-14,1993-09-28,T,Alma Singer ,46,0,2000-09-14,,46,48,T,"""MY FATHEDIED WHEN I WAS SEVEN"" (37).",David Singer,,,,,,T,,,,,,
26,David Singedies,1992-09-14,1993-09-28,T,Alma Singer ,94,0,2000-09-14,,94,95,T,"""MY FATHEDIED WHEN I WAS SEVEN"" (37).",David Singer,,,,,,T,,,,,,
26,David Singedies,1992-09-14,1993-09-28,T,Alma Singer ,247,0,2000-10-21,2001-09-14,247,247,T,"""MY FATHEDIED WHEN I WAS SEVEN"" (37).",David Singer,,,,,,T,,,,,,
26,David Singedies,1992-09-14,1993-09-28,T,Alma Singer ,101,0,2000-09-14,,101,101,T,"""MY FATHEDIED WHEN I WAS SEVEN"" (37).",David Singer,,,,,,T,,,,,,
26,David Singedies,1992-09-14,1993-09-28,T,Alma Singer ,181,0,2000-09-14,,181,182,T,"""MY FATHEDIED WHEN I WAS SEVEN"" (37).",David Singer,,,,,,T,,,,,,
27,Alma Mereminski dies,1995-01-01,1995-12-31,T,Alma Singer ,176,0,2000-09-14,,176,177,T,"She ""died five years ago"" (85). Leo narrates from the yea2000.",Alma Mereminski,T,,,,,,,,,,,
28,Alma becomes Misha's pen pal,1997-09-28,1998-02-28,T,Alma Singer ,95,0,2000-09-14,,94,95,T,"""He was almost thirteen, five months oldethan I"" (98).",Alma Mereminski and Misha Shklovsky,T,,,,,,,,,T,,
28,Alma becomes Misha's pen pal,1997-09-28,1998-02-28,T,Alma Singer ,98,0,2000-09-14,,98,99,T,"""He was almost thirteen, five months oldethan I"" (98).",Alma Mereminski and Misha Shklovsky,T,,,,,,,,,T,,
30,Charlotte receives Isaac's first letter,2000-01-02,2000-02-28,T,Alma Singer ,55,0,2000-09-14,,55,57,T,"""...in the middle of last February a lettearrived..."" (55).",Charlotte Singer and Isaac Moritz,,,,T,,,T,,,,,
