Acronym,Title,Author Last Name,Author First Name,Publisher,Publication Date,Originally,Research Assistant Team,Notes
ps,the place of scraps,Abel,Jordan,Talonbooks,2013,,Soren Kim,
pp,Pride and Prejudice,Austen,Jane,Penguin Classics,2002,1813,"Emma Ainsworth, Leia Soulsbury, and Rowan Watts",
gs,A Visit from the Goon Squad,Egan,Jennifer,Random House,2011,,Kyra Hetherington and Rowan Watts,
pod,The Plague of Doves,Erdrich,Louise,HarperCollins,2008,,Emma Ainsworth and Rowan Watts,
tsatf,The Sound and the Fury,Faulkner,William,Vintage International,2005,1929,Emma Ainsworth and Rowan Watts,extra
s,Scarborough,Hernandez,Catherine,Arsenal Pulp Press,2017,,Emma Ainsworth and Jessica Jay,
fs,The Fifth Season,Jemisin,N.K.,Orbit,2015,,Faith Lapointe and Rowan Watts,
thol,The History of Love,Krauss,Nicole,Norton,2005,,Emma Ainsworth and Rowan Watts,
tkam,To Kill a Mockingbird,Lee,Harper,?,?,,Audrey Mugford and Rowan Watts,
be,The Bluest Eye,Morrison,Toni,Vintage International,1970,,Emma Ainsworth and Rowan Watts,
tt,There There,Orange,Tommy,Penguin Random House,2018,,Jessica Jay and Audrey Mugford,
de,Disappearing Earth,Phillips,Julia,Vintage Books,2019,,Jessica Jay and Faith Lapointe,
hp,Harry Potter and the Philosopher's Stone,Rowling,J.K.,Bloomsbury,2004,1997,Kyra Hetherington (with a little help from Abby Phillips and Avery McAllister through Uvic's HUMA 180 Internship),
sh,The Spinning Heart,Ryan,Donal,Transworld Publishers,2012,,Emma Ainsworth and Kyra Hetherington,
utc,Uncle Tom's Children,Wright,Richard,HarperPerennial,1993,1938,Soren Kim and Alexander McLachlan,
to,Tropic of Orange,Yamashita,Karen Tei ,Coffee House Press,1997,,Kyra Hetherington and Alexander McLachlan,
