Name,Color,HEX Code
3rd Person Narrator (The Bluest Eye),gray,#C0C0C0
Aunt Jimmy,violet,#bdb4f9
Cholly Breedlove,orange,#FFA500
Claudia,red,#FF0000
Darlene,lavender,#E6CCFF
Frieda,salmon,#e5b4af
Geraldine,mint,#98FFB3
Louis Junior,teal,#008080
Maureen Peal,cyan,#00FFFF
Mr. MacTeer (Claudia's Father),green,#00FF00
Mrs. MacTeer (Claudia's Mother),magenta,#FF00FF
Pauline Breedlove,purple,#8D01FF
Pecola Breedlove,blue,#2891ff
Pecola's Baby,baby blue,#89CFF0
Soaphead Church,yellow,#FFFF00
White man (flashlight),chartreuse,#C9FF00
