Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,Cholly Breedlove,Cholly's Mother,Aunt Jimmy,White men,Darlene,Pauline Breedlove,Pecola Breedlove,Mr. Henry,Claudia,Frieda,Mrs. MacTeer (Claudia's Mother),Mr. MacTeer (Claudia's Father),Maureen Peal,Louis Junior,Geraldine,Soaphead Church,Pecola's Baby
1,Aunt Jimmy passes away,1903-01-01,1918-01-01,T,3rd Person Narrator (The Bluest Eye),135,135,,,,,,"*Story time dates approximated based on limited textual evidence for visualization purposes*""It was in the spring... that Aunt Jimmy died""(135) ""he was fourteen""(154)",,T,,T,,,,,,,,,,,,,,
2,Cholly's Mother abandons him,1903-01-01,1904-01-01,T,3rd Person Narrator (The Bluest Eye),142,142,,,,,,"*Story time dates approximated based on limited textual evidence for visualization purposes* ""When Cholly was four days old, his mother wrapped him in two bankets and one newspaper and placed him on a junk heap by the railroad"" (132)",,T,T,T,,,,,,,,,,,,,,
3,Cholly's 'rape' by White men and the 'almost-rape' of Darlene,1903-01-01,1918-01-01,T,3rd Person Narrator (The Bluest Eye),42,42,,,,,,"*Story time dates approximated based on limited textual evidence for visualization purposes*""It was in the spring... that Aunt Jimmy died""(135) ""he was fourteen""(154)",,T,,,T,T,,,,,,,,,,,,
3,Cholly's 'rape' by White men and the 'almost-rape' of Darlene,1903-01-01,1918-01-01,T,3rd Person Narrator (The Bluest Eye),147,147,,,,,,"*Story time dates approximated based on limited textual evidence for visualization purposes*""It was in the spring... that Aunt Jimmy died""(135) ""he was fourteen""(154)",,T,,,T,T,,,,,,,,,,,,
3,Cholly's 'rape' by White men and the 'almost-rape' of Darlene,1903-01-01,1918-01-01,T,3rd Person Narrator (The Bluest Eye),148,148,,,,,,"*Story time dates approximated based on limited textual evidence for visualization purposes*""It was in the spring... that Aunt Jimmy died""(135) ""he was fourteen""(154)",,T,,,T,T,,,,,,,,,,,,
3,Cholly's 'rape' by White men and the 'almost-rape' of Darlene,1903-01-01,1918-01-01,T,3rd Person Narrator (The Bluest Eye),149,149,,,,,,"*Story time dates approximated based on limited textual evidence for visualization purposes*""It was in the spring... that Aunt Jimmy died""(135) ""he was fourteen""(154)",,T,,,T,T,,,,,,,,,,,,
3,Cholly's 'rape' by White men and the 'almost-rape' of Darlene,1903-01-01,1918-01-01,T,3rd Person Narrator (The Bluest Eye),156,156,,,,,,"*Story time dates approximated based on limited textual evidence for visualization purposes*""It was in the spring... that Aunt Jimmy died""(135) ""he was fourteen""(154)",,T,,,T,T,,,,,,,,,,,,
3,Cholly's 'rape' by White men and the 'almost-rape' of Darlene,1903-01-01,1918-01-01,T,3rd Person Narrator (The Bluest Eye),160,160,,,,,,"*Story time dates approximated based on limited textual evidence for visualization purposes*""It was in the spring... that Aunt Jimmy died""(135) ""he was fourteen""(154)",,T,,,T,T,,,,,,,,,,,,
2,Cholly's Mother abandons him,1903-01-01,1904-01-01,T,3rd Person Narrator (The Bluest Eye),133,133,,,,,,"*Story time dates approximated based on limited textual evidence for visualization purposes* ""When Cholly was four days old, his mother wrapped him in two bankets and one newspaper and placed him on a junk heap by the railroad"" (132)",,T,T,T,,,,,,,,,,,,,,
4,"Cholly goes to find his Dad in Macon, and his Dad rejects him",1903-01-01,1918-01-01,T,3rd Person Narrator (The Bluest Eye),155,155,,,,,,"*Story time dates approximated based on limited textual evidence for visualization purposes* ""It was in the spring... that Aunt Jimmy died""(135) ""he was fourteen""(154)",,T,,,,,,,,,,,,,,,,
2,Cholly's Mother abandons him,1903-01-01,1904-01-01,T,3rd Person Narrator (The Bluest Eye),132,132,,,,,,"*Story time dates approximated based on limited textual evidence for visualization purposes* ""When Cholly was four days old, his mother wrapped him in two bankets and one newspaper and placed him on a junk heap by the railroad"" (132)",,T,T,T,,,,,,,,,,,,,,
4,"Cholly goes to find his Dad in Macon, and his Dad rejects him",1903-01-01,1918-01-01,T,3rd Person Narrator (The Bluest Eye),153,153,,,,,,"*Story time dates approximated based on limited textual evidence for visualization purposes* ""It was in the spring... that Aunt Jimmy died""(135) ""he was fourteen""(154)",,T,,,,,,,,,,,,,,,,
4,"Cholly goes to find his Dad in Macon, and his Dad rejects him",1903-01-01,1918-01-01,T,3rd Person Narrator (The Bluest Eye),152,152,,,,,,"*Story time dates approximated based on limited textual evidence for visualization purposes* ""It was in the spring... that Aunt Jimmy died""(135) ""he was fourteen""(154)",,T,,,,,,,,,,,,,,,,
