Name,Color,HEX Code
Birdie,blue,#2891ff
Bobby,red,#FF0000
Brian,orange,#FFA500
Bridie,blue,#2891ff
Denis,pale yellow,#d2e49d
Dylan,peach,#FFD1A6
Frank,maroon,#800000
George,mint,#98FFB3
Hillary,pink,#d6769e
Jason,violet,#bdb4f9
Jim,dark blue,#1d4da1
Josie,yellow,#FFFF00
Kate,baby blue,#89CFF0
Lily,butter,#FFF2A8
Lloyd,magenta,#FF00FF
Mags,purple,#8D01FF
Millicent,purple,#8D01FF
Pokey,chartreuse,#C9FF00
Realtin,salmon,#e5b4af
Realtín,salmon,#e5b4af
Rory,dark green,#006400
Seanie,lavender,#E6CCFF
Timmy,cyan,#00FFFF
Trevor,green,#00FF00
Triona,medium orange,#ffda00
Vasya,teal,#008080
