Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,Bobby,Josie,Lily,Denis,Jim,Vasya,Réaltín,Timmy,Dylan,Trevor,George,Jason,Rory,Seanie,Kate,Pokey,Triona,Millicent,Frank,Mags,Lloyd
1,Lily has George,1950-12-31,1950-12-31,T,Lily,27,27,2009-03-17,2009-03-17,27,34,T," As Lily states that her fifth child is ""a solicitor"" (33), it is safe to assume she is referring to George McSweeny. Réaltín states that George ‚Äúbrought us all out to celebrate his firm‚Äôs thirtieth year‚Äù, which means he has been a solicitor for 30 years, and ‚ÄúIf you study full time, it takes five or six years to qualify as a solicitor.‚Äù (https://www.prospects.ac.uk/jobs-and-work-experience/job-sectors/law-sector/how-to-become-a-lawyer), so therefore if he started studying at ~18 years old, he would be between 53 and 54 years old when he had sex with Réaltín, and Dylan is around 2-3 years old, so he would be between 56 and 58 in 2008/9. This would mean George was born between the start of 1950 and the end of 1951. ",George and Lily,,,T,,,,,,,,T,,,,,,,,,,
1,Lily has George,1950-12-31,1950-12-31,T,Lily,32,32,2009-03-17,2009-03-17,27,34,T," As Lily states that her fifth child is ""a solicitor"" (33), it is safe to assume she is referring to George McSweeny. Réaltín states that George ‚Äúbrought us all out to celebrate his firm‚Äôs thirtieth year‚Äù, which means he has been a solicitor for 30 years, and ‚ÄúIf you study full time, it takes five or six years to qualify as a solicitor.‚Äù (https://www.prospects.ac.uk/jobs-and-work-experience/job-sectors/law-sector/how-to-become-a-lawyer), so therefore if he started studying at ~18 years old, he would be between 53 and 54 years old when he had sex with Réaltín, and Dylan is around 2-3 years old, so he would be between 56 and 58 in 2008/9. This would mean George was born between the start of 1950 and the end of 1951. ",George and Lily,,,T,,,,,,,,T,,,,,,,,,,
2,Josie tries to rape Lily,1980-01-07,1980-01-07,T,Lily,29,29,2009-03-17,2009-03-17,27,34,T,"Josie narrates that ‚Äú[Eileen] was expecting at the time‚Äù (30), and Lily's narration seems to imply this was the first child of Eileen's (Eamonn) as she describes Josie ""years and years after that with his two boys and his little girl"" (30). Pokey is born in or after 1978 (Sean Pol is only Pope in 1978), Eamonn is not even 2 years older so he would be born in or after 1977 ‚ÄúEamonn was not yet two years old‚Ä¶‚Äù (10); so therefore this was not prior to the beginning of 1977. In addition, Rory is ‚Äútwenty-seven years old‚Äù (113) and similar in age to Bobby: If Rory and Bobby are around ~27, and Pokey is 3 years younger than Bobby, then Pokey is around 24? Pokey would be born around 1985 and Eamonn 1983. With this data we can concude that Josie tries to assault Lily sometime roughly between the beginning of 1977 and the end of 1983. ",Denis and Lily,,,T,T,,,,,,,,,,,,,,,,,
2,Josie tries to rape Lily,1980-01-07,1980-01-07,T,Lily,30,30,2009-03-17,2009-03-17,27,34,T,"Josie narrates that ‚Äú[Eileen] was expecting at the time‚Äù (30), and Lily's narration seems to imply this was the first child of Eileen's (Eamonn) as she describes Josie ""years and years after that with his two boys and his little girl"" (30). Pokey is born in or after 1978 (Sean Pol is only Pope in 1978), Eamonn is not even 2 years older so he would be born in or after 1977 ‚ÄúEamonn was not yet two years old‚Ä¶‚Äù (10); so therefore this was not prior to the beginning of 1977. In addition, Rory is ‚Äútwenty-seven years old‚Äù (113) and similar in age to Bobby: If Rory and Bobby are around ~27, and Pokey is 3 years younger than Bobby, then Pokey is around 24? Pokey would be born around 1985 and Eamonn 1983. With this data we can concude that Josie tries to assault Lily sometime roughly between the beginning of 1977 and the end of 1983. ",Denis and Lily,,,T,T,,,,,,,,,,,,,,,,,
2,Josie tries to rape Lily,1980-01-07,1980-01-07,T,Josie,24,24,2009-03-17,2009-03-17,21,26,T,"Josie narrates that ‚Äú[Eileen] was expecting at the time‚Äù (30), and Lily's narration seems to imply this was the first child of Eileen's (Eamonn) as she describes Josie ""years and years after that with his two boys and his little girl"" (30). Pokey is born in or after 1978 (Sean Pol is only Pope in 1978), Eamonn is not even 2 years older so he would be born in or after 1977 ‚ÄúEamonn was not yet two years old‚Ä¶‚Äù (10); so therefore this was not prior to the beginning of 1977. In addition, Rory is ‚Äútwenty-seven years old‚Äù (113) and similar in age to Bobby: If Rory and Bobby are around ~27, and Pokey is 3 years younger than Bobby, then Pokey is around 24? Pokey would be born around 1985 and Eamonn 1983. With this data we can concude that Josie tries to assault Lily sometime roughly between the beginning of 1977 and the end of 1983. ",Denis and Lily, ,,T,T,,,,,,,,,,,,,,,,,
3,Peter drowns,1989-02-03,1989-02-03,T,Bridie,68,68,2009-07-19,2009-07-19,68,75,T,"Bridie states that this occured ‚Äúnearly twenty years ago‚Äù (68). Asuuming that she is narrarting between September 2008 and the end of August 2009 (in the context of the recession), Peter would have drowned sometime between Sept. 1st 1988 and August 31st 1989.",Jim, , ,,,T,,,,,,,,,,,,,,,,
3,Peter drowns,1989-02-03,1989-02-03,T,Bridie,69,69,2009-07-19,2009-07-19,68,75,T,"Bridie states that this occured ‚Äúnearly twenty years ago‚Äù (68). Asuuming that she is narrarting between September 2008 and the end of August 2009 (in the context of the recession), Peter would have drowned sometime between Sept. 1st 1988 and August 31st 1989.",Jim, , ,,,T,,,,,,,,,,,,,,,,
3,Peter drowns,1989-02-03,1989-02-03,T,Bridie,70,70,2009-07-19,2009-07-19,68,75,T,"Bridie states that this occured ‚Äúnearly twenty years ago‚Äù (68). Asuuming that she is narrarting between September 2008 and the end of August 2009 (in the context of the recession), Peter would have drowned sometime between Sept. 1st 1988 and August 31st 1989.",Jim, , ,,,T,,,,,,,,,,,,,,,,
3,Peter drowns,1989-02-03,1989-02-03,T,Bridie,71,71,2009-07-19,2009-07-19,68,75,T,"Bridie states that this occured ‚Äúnearly twenty years ago‚Äù (68). Asuuming that she is narrarting between September 2008 and the end of August 2009 (in the context of the recession), Peter would have drowned sometime between Sept. 1st 1988 and August 31st 1989.",Jim, , ,,,T,,,,,,,,,,,,,,,,
3,Peter drowns,1989-02-03,1989-02-03,T,Bridie,72,72,2009-07-19,2009-07-19,68,75,T,"Bridie states that this occured ‚Äúnearly twenty years ago‚Äù (68). Asuuming that she is narrarting between September 2008 and the end of August 2009 (in the context of the recession), Peter would have drowned sometime between Sept. 1st 1988 and August 31st 1989.",Jim, , ,,,T,,,,,,,,,,,,,,,,
3,Peter drowns,1989-02-03,1989-02-03,T,Bridie,75,75,2009-07-19,2009-07-19,68,75,T,"Bridie states that this occured ‚Äúnearly twenty years ago‚Äù (68). Asuuming that she is narrarting between September 2008 and the end of August 2009 (in the context of the recession), Peter would have drowned sometime between Sept. 1st 1988 and August 31st 1989.",Jim, , ,,,T,,,,,,,,,,,,,,,,
