Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,Rafaela,Bobby,Emi,Buzzworm,Manzanar,Gabriel,Arcangel,Sol,The Orange
,Rafaela sweeps away the animals,,,,,3.0,14.0,,,3.0,4.0,F,"""rafaela Cortes spent the mornign barefoot...""",,,,,,,,,,
,Arcangel is born,,,F,Arcangel,46.0,51.0,1998-06-26,1998-06-26,46.0,47.0,F,"“No one knew where he came from,
or how long he had lived,
how many years,
decades,
and yet he seemed a child,
yet not such a child to be without season
nor such an old man to be without reason.”",Arcangel,F,F,F,F,F,F,T,,
,Arcangel is born,,,,Arcangel,144.0,148.0,1998-06-25,1998-06-25,144.0,144.0,F,"""I have been traveling a long time."" ""How long?"" ""Five hundred years""",Arcangel,,,,,,,T,,
,Arcangel is born,,,,Arcangel,198.0,201.0,1998-06-26,1998-06-26,198.0,198.0,F,"""How old are you?"" ""Quinientos y algunos años."" ""When were you born?"" ""Doce de octubre de mil quatrocientos noventa y dos.""",Arcangel,,,,,,,T,,
,Orange trees arrive in America,1837-07-02,1837-07-02,T,Rafaela,11.0,14.0,1998-06-22,1998-06-22,11.0,11.0,F,"“It was a navel orange tree, maybe the descendent of the original trees first brought to California from Brazil in 1873 and planted by L.C. Tibbetts. This was the sort of historic detail Gabriel liked.""
","Gabriel, Rafaela, and The Orange",T,F,F,F,F,T,F,F,T
,Manzanar is born,1944-01-10,1944-01-10,T,Gabriel,108.0,114.0,1998-06-24,1998-06-24,108.0,108.0,F,“First sansei born in captivity” [between March 1942 to November 1945],Manzanar,F,F,F,F,T,F,F,F,F
,Manzanar is born,1944-01-10,1944-01-10,T,Gabriel,110.0,114.0,1998-06-24,1998-06-24,110.0,110.0,F,"""He had created the name out of his birthplace, Manzanar Concentration Camp in the Owens Valley [...] that would have been over fifty years ago, and he looked to be well over fifty.""",Manzanar,F,F,F,F,T,F,F,F,F
,Manzanar leaves his job,,,T,Manzanar,,,1998-06-23,1998-06-23,,,F,"“Long ago, Manzanar had been a skilled surgeon [...] at what point the baton replaced the knife, he could no longer remember” (56)
“He remembered his youth, the woman he loved, the family he once had, a nine-year-old- grandchild [Emi] he was particularly fond of” (170) 
",,,,,,,,,,
,Bobby moves to America,1975-07-02,1975-07-02,T,Bobby,15.0,18.0,1998-06-22,1998-06-22,15.0,15.0,F,"""Bobby's only twelve. How you get from Singapore to America? It's 1975."" ",Bobby,F,T,F,F,F,F,F,,
,Gabriel and Emi start dating,,,,Gabriel,,,1998-06-22,1998-06-22,,,F,"“but that was back in college [...] since then, they had been on again/off again.”",Emi and Gabriel,F,F,T,F,F,T,F,,
,Gabriel works as messenger,,,,Gabriel,39.0,46.0,1998-06-22,1998-06-22,39.0,39.0,F,"“ I did a rare thing: worked my way up from messenger. Did this all through college. To be honest, I did it for completely idealistic reasons at the time, not necessarily because I could write or even liked to.”",,,,,,,,,,
,Gabriel buys land in Mexico,1990-07-16,1990-07-16,T,Rafaela,5.0,14.0,1998-06-22,1998-06-22,5.0,5.0,F,"“this project had already been going on for eight years. It had begun one summer when Gabriel felt a spontaneous, sudden passion[…]” (1, 5) (1990?)
“About the time Rafaela was crossing the border North (from Mazatlan)” (1, 6)
“In eight years [...] she had learned English, married Bobby, helped start their janitorial business, borne a baby, and got a degree” (1, 6)",,,,,,,,,,
,Rafaela crosses border,1990-07-16,1990-07-16,T,Rafaela,6.0,14.0,1998-06-22,1998-06-22,6.0,6.0,F,"""About the time Gabriel was buying a piece of the Tropic of Cancer, Rafaela was crossing the border North.""",,,,,,,,,,
,Gabriel plants Orange tree on Tropic of Cancer,1990-08-08,1990-08-08,T,Rafaela,11.0,14.0,1998-06-22,1998-06-22,11.0,11.0,F,“he had actually brought this tree from Riverside eight years ago”,,,,,,,,,,
,Rafaela marries Bobby,,,T,Rafaela,6.0,14.0,1998-06-22,1998-06-22,6.0,6.0,F,"""until she and her husband Bobby could make up their minds about their marriage."" ",Bobby and Rafaela,T,T,F,F,F,F,F,F,F
,Rafaela marries Bobby,,,T,Bobby,17.0,18.0,1998-06-22,1998-06-22,17.0,17.0,F,"“Never been so happy as when he got married to that woman” (17)
",Bobby and Rafaela,T,T,F,F,F,F,F,F,F
,Rafaela marries Bobby,,,T,Bobby,97.0,102.0,1998-06-24,1998-06-24,97.0,97.0,F,"“First married, he took Rafaela over and got the B plan”",Bobby and Rafaela,T,T,F,F,F,F,F,F,F
,Sol is born,1996-03-30,1996-03-30,T,Bobby,97.0,102.0,1998-06-24,1998-06-24,97.0,97.0,F,"“Made her take Tanqui tea. After that, Sol got born. Got born fast.”
“Then, when Sol’s born, they went back” (97)","Bobby, Rafaela, and Sol",T,T,,,,,,T,
,Sol is born,1996-03-30,1996-03-30,T,Rafaela,6.0,14.0,1998-06-22,1998-06-22,6.0,6.0,F,"""In eight years, while his Mexican project floundered, she had learned English married Bobby, helped start their janitorial business, borne a baby ""","Bobby, Rafaela, and Sol",T,T,,,,F,,T,
,Rafaela and Sol move to mexico,1998-06-01,1998-06-01,T,Rafaela,6.0,14.0,1998-06-22,1998-06-22,6.0,6.0,F,"""Gabriel was doing her a favour, letting her hide with her little son""","Gabriel, Rafaela, and Sol",T,,,,,T,,T,
,Orange falls off the tree,1998-06-22,1998-06-22,F,Rafaela,13.0,14.0,1998-06-22,1998-06-22,13.0,13.0,F,"“She did not realize that the orange had fallen irresistibly from a height of two meters, rolling in dusty turbulence down a small slope""
",,,,,,,,,,
,Woman picks up orange,1998-06-22,1998-06-22,F,Arcangel,17.0,18.0,1998-06-22,1998-06-22,17.0,17.0,F,"“In the dream, “a woman was pushing a cart [...] only to come upon an orange”",,,,,,,,,,
,Arcangel wakes up in Mazatlan,1998-06-22,1998-06-22,F,Arcangel,51.0,51.0,1998-06-22,1998-06-22,51.0,51.0,F,"“Now he was in Mazatlán. He could hear the waves lapping at the edges of the sand, feel the already-heating breezes flowing from the Sea of Cortez.
He had had a dream. And when he awoke he could still see the dream like a miniature Aleph reflected from his mind to an indefinable point on his visual horizon.""
",,,,,,,,,,
,First car accident,1998-06-23,1998-06-23,F,Manzanar,55.0,57.0,1998-06-23,1998-06-23,55.0,56.0,F,"""The Terrible pain of this moment flashed""",,,,,,,,,,
,Second car accident,1998-06-23,1998-06-23,F,,112.0,112.0,1998-06-23,1998-06-23,,,F,,,,,,,,,,,
,Traffic Jam,1998-06-23,1998-06-28,F,Emi,58.0,,1998-06-23,1998-06-23,58.0,,F,"“Well, it is pretty stacked up.” Emi looked out all her mirrors. “Red convertible Porsche. Imagine, no L.A. native would buy such a thing. What are the chances? Breathe freeway air and get cancer. Lose your hair. Get jacked easy. Or just get shot straight on. Must be an ex-pat from the East. Came to L.A. to die.”
Gabriel groaned. “Listen, get off at the next exit and pick me up.”
",,,,,,,,,,
,Arcangel Takes Orange,1998-06-23,1998-06-23,,Arcangel,75.0,75.0,1998-06-23,1998-06-23,75.0,75.0,F,“He opened his suitcase and put the orange and the bag of cactus leaves in one corner”,,,,,,,,,,
,Bobby receives letter about cousin,1998-06-23,1998-06-23,,Bobby,76.0,80.0,1998-06-23,1998-06-23,76.0,76.0,F,"“Letter came today. Go figure. Never heard of this cousin, but he’s got it all right: name of Bobby’s dad, name of his mom, name of his uncles. ”.",,,,,,,,,,
,Buzzworm buys orange from Margarita,1998-06-23,1998-06-23,,Buzzworm,85.0,86.0,1998-06-23,1998-06-23,85.0,85.0,F,"“Buzzworm walked away with his bag of peanuts and bananas. Orange in his pocket.""
",,,,,,,,,,
,Boy dies,1998-06-24,1998-06-24,,Buzzworm,,,1998-06-24,1998-06-24,,,F,"“So you dodged the bullets.”
“No. They curved by me sudden-like.” / “Still that’s what the report said. Direct cause of death: high doses of a very pure form of cocaine and unidentified chemicals found in the stomach and digestive tract, probably ingested orally.” ",,,,,,,,,,
,Margarita Dies,1998-06-24,1998-06-24,,Buzzworm,106.0,107.0,1998-06-24,1998-06-24,106.0,107.0,F,"“Margarita was dead. He got the page. Met the family in a one-room duplex, Pico-Union projects.""
",,,,,,,,,,
,"Gabriel interviews Manzanar (17,107)",1998-06-24,1998-06-24,,Gabriel,107.0,114.0,1998-06-24,1998-06-24,107.0,111.0,F,"""Like Buzzworm promised, I got my interview with the homeless conductor.""",,,,,,,,,,
,Rafaela steals organ cooler (118-119),1998-06-24,1998-06-24,,Rafaela,118.0,119.0,1998-06-24,1998-06-24,118.0,119.0,F,“Racing toward the field of corn with her new possession feeling very heavy”,,,,,,,,,,
,Rafaela hugs Sol (148),1998-06-24,1998-06-24,,Rafaela,,,1998-06-25,1998-06-25,,,F,“It’s been less than five minutes. No. It’s been an eternity. I can’t explain it.”,,,,,,,,,,
,"Arcangel/El Gran Mojado challenges SUPERNAFTA (21, 133)",1998-06-24,1998-06-24,,Arcangel,133.0,134.0,1998-06-24,1998-06-24,133.0,134.0,F,"“I have made a challenge to this super-fake no one has ever seen. If he is indeed the fighter his posters declare, then he will find me. Me, El Gran Mojado!""
",,,,,,,,,,
