Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,Caddy,Quentin Compson III,Benjamin Compson,Jason Compson,Dilsey,Quentin Jr.
38,Luster looks for quarter,1928-04-07,1928-04-07,T,Benjamin Compson,3,3,1928-04-07,1928-04-07,3,75,T,"""...find that quarter...""",Benjamin Compson,F,F,T,F,F,F
4,Patterson Affair,1908-08-01,1908-08-01,T,Benjamin Compson,4,4,1928-04-07,1928-04-07,3,75,T,Caddy uncaught me,Benjamin Compson and Caddy,T,F,T,F,F,F
38,Luster looks for quarter,1928-04-07,1928-04-07,T,Benjamin Compson,4,4,1928-04-07,1928-04-07,3,75,T,...aint no more...,Benjamin Compson,F,F,T,F,F,F
4,Patterson Affair,1908-08-01,1908-08-01,T,Benjamin Compson,5,5,1928-04-07,1928-04-07,3,75,T,Keep your hands...,Benjamin Compson and Caddy,T,F,T,F,F,F
4,Patterson Affair,1908-08-01,1908-08-01,T,Benjamin Compson,6,6,1928-04-07,1928-04-07,3,75,T,"""Yes, sir.""",Benjamin Compson and Caddy,T,F,T,F,F,F
38,Luster looks for quarter,1928-04-07,1928-04-07,T,Benjamin Compson,6,6,1928-04-07,1928-04-07,3,75,T,What are you moaning...,Benjamin Compson,F,F,T,F,F,F
29,Compsons visit cemetery w/o Jason,1912-10-01,1912-10-01,T,Benjamin Compson,9,9,1928-04-07,1928-04-07,3,75,T,"""Git in, now...""","Benjamin Compson, Dilsey, and Jason Compson",F,F,T,T,T,F
38,Luster looks for quarter,1928-04-07,1928-04-07,T,Benjamin Compson,9,9,1928-04-07,1928-04-07,3,75,T,Cant you shut up...,Benjamin Compson,F,F,T,F,F,F
29,Compsons visit cemetery w/o Jason,1912-10-01,1912-10-01,T,Benjamin Compson,10,10,1928-04-07,1928-04-07,3,75,T,...and Dilsey helped...,"Benjamin Compson, Dilsey, and Jason Compson",F,F,T,T,T,F
29,Compsons visit cemetery w/o Jason,1912-10-01,1912-10-01,T,Benjamin Compson,11,11,1928-04-07,1928-04-07,3,75,T,"""...cemetery...""","Benjamin Compson, Dilsey, and Jason Compson",F,F,T,T,T,F
